ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
693,10.1099/vir.0.034033-0,https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.034033-0,No,Yes,10.1099/jgv.0.001339,Image Duplication Across Articles,No,Yes,No,No,No,No
694,10.1172/JCI32738,https://www.jci.org/articles/view/JCI32738,No,Yes,10.1172/JCI70657,Image Duplication,No,Yes,No,No,Yes,No
695,10.1109/IJCBS.2009.9,https://ieeexplore.ieee.org/document/5260432,No,Yes,10.1109/IJCBS.2009.9,Text Duplication,No,No,No,No,No,No
696,10.1109/BIBMW.2009.5332106,https://ieeexplore.ieee.org/document/5332106/,No,Yes,10.1109/BIBMW.2009.5332106,Text Duplication,No,No,No,No,No,No
697,10.1172/JCI29852,https://www.jci.org/articles/view/JCI29852,No,Yes,10.1172/JCI73730,Image Duplication,No,Yes,Yes,Yes,Yes,No
698,10.7314/apjcp.2014.15.2.677,http://koreascience.or.kr/article/JAKO201417638007656.page,No,Yes,10.22034/APJCP.2017.18.10.2895,Image Duplication Across Articles,No,No,No,No,No,No
699,10.1177/0960327114524238,https://journals.sagepub.com/doi/10.1177/0960327114524238,No,Yes,10.1177/0960327117716821,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
700,10.1091/mbc.E12-04-0306,https://www.molbiolcell.org/doi/10.1091/mbc.e12-04-0306,Yes,No,-,-,No,Yes,No,No,No,No
701,10.1517/14728222.2013.740461,https://www.tandfonline.com/doi/full/10.1517/14728222.2013.740461,No,No,-,-,No,Yes,No,No,No,No
702,10.7150/jca.29953,https://www.jcancer.org/v10p3830.htm,Yes,Yes,10.7150/jca.38671,Image Duplication,No,Yes,No,No,No,No
703,10.1105/tpc.111.088815,http://www.plantcell.org/content/23/9/3498,No,Yes,10.1105/tpc.17.00567,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,Yes
704,10.1098/rspb.2007.0586,https://royalsocietypublishing.org/doi/10.1098/rspb.2007.0586,No,Yes,10.1098/rspb.2010.1441,Questionable Data,No,No,No,No,No,No
705,10.1159/000207493,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2898564/,No,Yes,10.1159/000323471,Data Error,No,No,No,No,No,No
706,10.1172/JCI79775,https://www.jci.org/articles/view/79775,No,Yes,10.1172/JCI133806,Image Error,No,No,No,No,No,No
707,10.1124/mol.114.094508,https://molpharm.aspetjournals.org/content/87/2/231,No,Yes,10.1124/mol.115.094508retraction,Image Duplication; Image Manipulation,No,No,No,No,No,No
708,10.1210/jc.2003-030276,https://academic.oup.com/jcem/article/88/10/4967/2845849,No,Yes,10.1210/jc.2014-4200,Image Duplication Across Articles,No,No,No,No,No,No
709,10.1210/jc.2002-021325,https://academic.oup.com/jcem/article/88/3/1350/2845489,No,Yes,10.1210/jc.2014-4201,Image Duplication Across Articles,No,No,No,No,No,No
710,10.1210/me.2006-0514,https://academic.oup.com/mend/article/21/8/1847/2738462,No,Yes,10.1210/me.2013-1055,Image Manipulation,No,No,No,No,No,No
711,10.7860/JCDR/2012/4883.2680,https://jcdr.net/article_fulltext.asp?issn=0973-709x&year=2013&volume=7&issue=1&page=97&issn=0973-709x&id=2680,No,No,-,-,No,No,No,No,No,No
712,10.5395/rde.2015.40.4.276,https://rde.ac/DOIx.php?id=10.5395/rde.2015.40.4.276,Yes,No,-,-,No,No,No,No,No,No
713,10.1136/bmjgh-2016-000043,https://gh.bmj.com/lookup/doi/10.1136/bmjgh-2016-000043,Yes,No,-,-,No,No,No,No,No,No
714,10.5409/wjcp.v5.i2.228,https://www.wjgnet.com/2219-2808/full/v5/i2/228.htm,No,No,-,-,No,No,No,No,No,No
715,10.12659/msm.905992,https://www.medscimonit.com/abstract/index/idArt/905992,Yes,No,-,-,No,No,No,No,No,No
716,10.1098/rsob.170055,https://royalsocietypublishing.org/doi/10.1098/rsob.170055,No,No,-,-,No,No,No,No,No,No
717,10.14202/vetworld.2017.1427-1438,http://www.veterinaryworld.org/Vol.10/December-2017/4.html,Yes,No,-,-,No,No,No,No,No,No
718,10.1098/rsos.160764,https://royalsocietypublishing.org/doi/10.1098/rsos.160764,No,No,-,-,No,No,No,No,No,No
719,10.1210/me.2009-0231,https://academic.oup.com/mend/article/25/9/1676/2614941,No,Yes,10.1210/mend.25.9.zmg1676,Data Falsification/Fabrication,No,No,No,No,No,No
720,10.12659/MSM.897699,https://www.medscimonit.com/abstract/index/idArt/897699,No,Yes,10.12659/MSM.909000,Article Duplication,No,No,No,No,No,No
721,10.1104/pp.106.079038,http://www.plantphysiol.org/content/141/1/243,Yes,Yes,10.1104/pp.19.01182,Image Duplication; Image Manipulation,No,No,No,No,No,No
722,10.1177/1744806917706582,https://journals.sagepub.com/doi/10.1177/1744806917706582,No,Yes,10.1177/1744806918756677,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
723,10.1016/j.apjtm.2015.11.006,https://www.sciencedirect.com/science/article/pii/S1995764515001911,No,Yes,10.1016/j.apjtm.2017.06.015,Image Duplication Across Articles,No,No,No,No,No,No
724,10.1016/s0301-472x(03)00048-1,https://www.sciencedirect.com/science/article/pii/S0301472X03000481,Yes,Yes,10.1016/j.exphem.2006.07.020,Data Error,No,Yes,No,No,No,No
725,10.1016/j.bbrc.2008.09.133,https://www.sciencedirect.com/science/article/pii/S0006291X08019359,No,Yes,10.1016/j.bbrc.2018.04.169,Image Manipulation,No,Yes,No,No,No,No
726,10.1016/j.freeradbiomed.2012.08.584,https://www.sciencedirect.com/science/article/pii/S089158491201091X,No,Yes,10.1016/j.freeradbiomed.2014.09.018,Image Error,No,No,No,No,No,No
727,10.1016/j.freeradbiomed.2009.07.035,https://www.sciencedirect.com/science/article/pii/S0891584909004699,No,No,-,-,No,No,Yes,Yes,No,No
728,10.1016/j.freeradbiomed.2009.07.036,https://www.sciencedirect.com/science/article/pii/S089158490900447X,No,No,-,-,No,No,Yes,Yes,No,No
729,10.1016/j.taap.2009.06.009,https://www.sciencedirect.com/science/article/pii/S0041008X09002439,No,No,-,-,No,No,No,No,No,No
730,10.1016/j.freeradbiomed.2012.12.014,https://www.sciencedirect.com/science/article/pii/S0891584912018643,No,No,-,-,No,No,No,No,No,No
731,10.1016/S1470-2045(07)70345-5,https://www.sciencedirect.com/science/article/pii/S1470204507703455,No,Yes,10.1016/S1470-2045(11)70011-0,Data Error,No,Yes,No,No,No,No
732,10.1016/j.bcp.2010.06.022,https://www.sciencedirect.com/science/article/pii/S0006295210004569,No,Yes,10.1016/j.bcp.2015.11.007,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
733,10.1016/j.bcp.2006.12.010,https://www.sciencedirect.com/science/article/pii/S0006295206008185,No,Yes,10.1016/j.bcp.2015.11.012,Image Duplication,No,No,No,No,No,No
734,10.1016/j.bcp.2009.08.007,https://www.sciencedirect.com/science/article/pii/S000629520900687X,No,Yes,10.1016/j.bcp.2015.11.010,Image Duplication,No,Yes,No,No,Yes,No
735,10.1016/j.bcp.2009.09.003,https://www.sciencedirect.com/science/article/pii/S0006295209007369,No,Yes,10.1016/j.bcp.2015.11.008,Image Duplication,No,Yes,No,No,No,Yes
736,10.1016/j.bcp.2011.09.001,https://www.sciencedirect.com/science/article/pii/S0006295211006812,No,Yes,10.1016/j.bcp.2015.11.009,Image Duplication,No,Yes,No,No,Yes,No
737,10.1016/j.bcp.2010.01.023,https://www.sciencedirect.com/science/article/pii/S0006295210000614,No,Yes,10.1016/j.bcp.2015.11.011,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
738,10.1016/j.bcp.2011.07.062,https://www.sciencedirect.com/science/article/pii/S000629521100520X,No,Yes,10.1016/j.bcp.2015.11.006,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
739,10.1016/j.canlet.2011.12.011,https://www.sciencedirect.com/science/article/pii/S0304383511007580,No,Yes,10.1016/j.canlet.2011.12.011,No Information,No,Yes,No,No,No,No
740,10.1016/j.abb.2016.02.013,https://www.sciencedirect.com/science/article/pii/S0003986116300327,No,No,-,-,No,Yes,No,No,No,No
741,10.1016/j.phymed.2017.08.021,https://www.sciencedirect.com/science/article/pii/S0944711317301095,No,No,-,-,No,Yes,No,No,No,No
742,10.1016/j.bmc.2013.11.006,https://www.sciencedirect.com/science/article/pii/S0968089613009371,No,No,-,-,No,Yes,No,No,No,No
743,10.1016/j.bcp.2012.12.018,https://www.sciencedirect.com/science/article/pii/S000629521200826X,No,No,-,-,No,Yes,No,No,No,No
744,10.1016/j.freeradbiomed.2012.08.012,https://www.sciencedirect.com/science/article/pii/S0891584912005011,No,No,-,-,No,Yes,No,No,No,No
745,10.1016/j.lfs.2012.08.002,https://www.sciencedirect.com/science/article/pii/S0024320512004158,No,Yes,10.1016/j.lfs.2017.12.028,Image Duplication; Image Duplication Across Articles,No,No,No,No,No,No
746,10.1016/j.yjmcc.2007.08.021,https://www.sciencedirect.com/science/article/pii/S0022282807012047,No,Yes,10.1016/j.yjmcc.2012.08.016,Image Falsification/Fabrication,No,No,No,No,No,No
747,10.1016/j.yjmcc.2007.08.022,https://www.sciencedirect.com/science/article/pii/S0022282807012084,No,Yes,10.1016/j.yjmcc.2012.08.015,Image Falsification/Fabrication,No,No,No,No,No,No
748,10.1016/j.yjmcc.2007.02.010,https://www.sciencedirect.com/science/article/pii/S0022282807000491,No,Yes,10.1016/j.yjmcc.2012.08.017,Image Falsification/Fabrication,No,No,No,No,No,No
749,10.1016/j.yjmcc.2006.03.009,https://www.sciencedirect.com/science/article/pii/S0022282806000824,No,Yes,10.1016/j.yjmcc.2012.08.018,Image Falsification/Fabrication,No,No,No,No,No,No
750,10.1016/j.freeradbiomed.2008.11.005,https://www.sciencedirect.com/science/article/pii/S0891584908007119,No,Yes,10.1016/j.freeradbiomed.2012.06.017,Data Falsification/Fabrication,No,No,No,No,No,No
751,10.1016/j.freeradbiomed.2007.09.008,https://www.sciencedirect.com/science/article/pii/S0891584907006211,No,Yes,10.1016/j.freeradbiomed.2012.06.018,Data Falsification/Fabrication,No,No,No,No,No,No
752,10.1016/j.jnutbio.2008.05.003,https://www.sciencedirect.com/science/article/pii/S0955286308001113,No,Yes,10.1016/j.jnutbio.2012.04.006,Data Falsification/Fabrication,No,No,No,No,No,No
753,10.1016/j.ygyno.2008.04.033,https://www.sciencedirect.com/science/article/pii/S0090825808003430,No,Yes,10.1016/j.ygyno.2009.10.045,Image Manipulation,No,Yes,No,No,No,No
754,10.1016/j.ab.2012.06.004,https://www.sciencedirect.com/science/article/pii/S0003269712003089,No,No,-,-,No,Yes,No,No,No,No
755,10.1016/j.bios.2015.12.085,https://www.sciencedirect.com/science/article/pii/S0956566315307351,No,Yes,10.1016/j.bios.2018.04.060,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
756,10.1016/j.bios.2018.10.002,https://www.sciencedirect.com/science/article/pii/S0956566318308182,No,Yes,10.1016/j.bios.2015.01.072,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
757,10.1016/j.canlet.2011.03.012,https://www.sciencedirect.com/science/article/pii/S0304383511001625,No,Yes,10.1016/j.canlet.2018.03.020,Data Falsification/Fabrication,No,Yes,No,No,No,No
758,10.1016/j.canlet.2009.01.009,https://www.sciencedirect.com/science/article/pii/S0304383509000287,No,Yes,10.1016/j.canlet.2018.03.018,Data Falsification/Fabrication,No,Yes,No,No,No,No
759,10.1016/j.canlet.2012.01.013,https://www.sciencedirect.com/science/article/pii/S0304383512000420,No,Yes,10.1016/j.canlet.2017.11.030,Data Falsification/Fabrication,No,Yes,No,No,No,No
760,10.1593/tlo.13133,https://www.sciencedirect.com/science/article/pii/S1936523313800356,No,Yes,PMCID: PMC3890715,Image Duplication,No,Yes,No,No,Yes,No
761,10.1016/j.canlet.2014.05.013,https://www.sciencedirect.com/science/article/pii/S0304383514002705,No,No,-,-,No,No,No,No,No,No
762,10.1593/neo.12542,https://www.sciencedirect.com/science/article/pii/S1476558612800121,No,No,-,-,No,No,No,No,No,No
763,10.1016/j.molcel.2011.08.019,https://www.sciencedirect.com/science/article/pii/S109727651100637X,No,Yes,10.1016/j.molcel.2015.01.032,Image Manipulation,No,Yes,No,No,No,No
764,10.1016/j.jaci.2013.04.018,https://www.sciencedirect.com/science/article/pii/S0091674913006659,No,Yes,10.1016/j.jaci.2018.01.002,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
765,10.1016/j.talanta.2017.08.043,https://www.sciencedirect.com/science/article/pii/S0039914017308627,No,Yes,10.1016/j.talanta.2019.06.097,Image Duplication,No,No,No,No,No,No
766,10.1016/j.scr.2014.02.008,https://www.sciencedirect.com/science/article/pii/S1873506114000257,No,No,-,-,No,Yes,No,No,No,No
767,10.1016/j.bbabio.2012.09.016,https://www.sciencedirect.com/science/article/pii/S0005272812010390,No,Yes,10.1016/j.bbabio.2016.06.009,Image Falsification/Fabrication,No,Yes,No,No,No,No
768,10.1016/S0966-3274(03)00054-6,https://www.sciencedirect.com/science/article/pii/S0966327403000546,No,Yes,10.1016/j.trim.2009.01.003,Questionable Data,No,No,No,No,No,No
769,10.1016/j.tox.2012.12.011,https://www.sciencedirect.com/science/article/pii/S0300483X12004301,No,Yes,10.1016/j.tox.2017.10.001,Image Manipulation,No,No,No,No,No,No
770,10.1016/j.diabres.2011.03.033,https://www.sciencedirect.com/science/article/pii/S0168822711001732,No,Yes,-,Image Duplication,No,No,No,No,No,No
771,10.1016/j.biocel.2016.01.001,https://www.sciencedirect.com/science/article/pii/S1357272516300012,No,Yes,10.1016/j.biocel.2019.04.005,Image Duplication,No,No,No,No,No,No
772,10.1016/j.jnutbio.2017.02.001,https://www.sciencedirect.com/science/article/pii/S0955286316302716,No,Yes,10.1016/j.jnutbio.2017.07.007,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
773,10.1038/sj.mt.6300137,https://www.sciencedirect.com/science/article/pii/S1525001616316641,No,Yes,10.1038/mt.2010.198,Data Falsification/Fabrication,No,Yes,No,No,No,No
774,10.1038/sj.mt.6300257,https://www.sciencedirect.com/science/article/pii/S1525001616326326,No,Yes,10.1038/mt.2010.199,Data Falsification/Fabrication,No,Yes,No,No,No,No
775,10.1016/j.lfs.2013.02.001,https://www.sciencedirect.com/science/article/pii/S0024320513000702,No,Yes,10.1016/j.lfs.2019.116690,Image Duplication; Image Falsification/Fabrication,No,Yes,No,No,No,No
776,10.1016/s0010-0277(02)00139-7,https://www.sciencedirect.com/science/article/pii/S0010027702001397,No,Yes,10.1016/j.cognition.2010.08.013,Data Error,No,No,No,No,No,No
777,10.1053/j.gastro.2012.05.045,https://www.sciencedirect.com/science/article/pii/S0016508512008116,No,Yes,10.1053/j.gastro.2017.08.027,Image Duplication,No,No,No,No,No,No
778,10.1016/j.jacc.2011.06.062,https://www.sciencedirect.com/science/article/pii/S0735109711031305,No,No,-,-,No,No,No,No,No,No
779,10.1016/j.yjmcc.2007.11.014,https://www.sciencedirect.com/science/article/pii/S0022282807013181,No,No,-,-,No,No,No,No,No,No
780,10.1016/j.intimp.2014.12.014,https://www.sciencedirect.com/science/article/pii/S1567576914004822,No,Yes,10.1016/j.intimp.2017.05.020,Image Duplication Across Articles,No,No,No,No,No,No
781,10.1016/j.lfs.2007.11.006,https://www.sciencedirect.com/science/article/pii/S0024320507008235,No,Yes,10.1016/j.lfs.2019.116691,Image Duplication Across Articles; Image Falsification/Fabrication,No,No,No,No,No,No
782,10.1016/j.bios.2015.11.092,https://www.sciencedirect.com/science/article/pii/S0956566315306527,No,Yes,10.1016/j.bios.2018.10.058,Image Duplication Across Articles,No,No,No,No,No,No
783,10.1016/j.canlet.2010.09.002,https://www.sciencedirect.com/science/article/pii/S0304383510004246,No,Yes,10.1016/j.canlet.2018.03.019,Image Duplication,No,No,No,No,No,No
784,10.1016/j.celrep.2017.10.021,https://www.sciencedirect.com/science/article/pii/S2211124717314535,No,No,-,-,No,No,No,No,No,No
785,10.1016/j.brainres.2006.11.080,https://www.sciencedirect.com/science/article/pii/S0006899306034792,No,Yes,10.1016/j.brainres.2013.03.017,Data Falsification/Fabrication,No,No,No,No,No,No
786,10.1016/j.aca.2014.10.030,https://www.sciencedirect.com/science/article/pii/S0003267014012859,No,Yes,10.1016/j.aca.2018.04.063,Image Duplication; Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
787,10.1016/j.bios.2014.07.063,https://www.sciencedirect.com/science/article/pii/S0956566314005648,No,Yes,10.1016/j.bios.2018.04.042,Image Duplication; Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
788,10.1016/j.bios.2018.10.003,https://www.sciencedirect.com/science/article/pii/S0956566318308194,No,Yes,10.1016/j.bios.2015.06.005,Image Duplication; Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
789,10.1016/j.bios.2015.12.053,https://www.sciencedirect.com/science/article/pii/S0956566315307065,No,Yes,10.1016/j.bios.2018.05.029,Image Duplication; Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
790,10.1016/j.bios.2015.01.072,https://www.sciencedirect.com/science/article/pii/S0956566315000901,No,Yes,10.1016/j.bios.2018.10.002,Image Duplication Across Articles,No,No,No,No,No,No
791,10.1016/j.bios.2017.06.003,https://www.sciencedirect.com/science/article/pii/S0956566317303780,No,Yes,10.1016/j.bios.2018.12.034,Image Duplication Across Articles,No,No,No,No,Yes,No
792,10.1593/neo.13424,https://www.sciencedirect.com/science/article/pii/S1476558613800735,No,No,-,-,No,No,No,No,No,No
793,10.1016/j.bcp.2013.01.026,https://www.sciencedirect.com/science/article/pii/S0006295213000804,No,No,-,-,No,No,No,No,No,No
794,10.1038/jid.2014.504,https://www.sciencedirect.com/science/article/pii/S0022202X15371724,No,No,-,-,No,No,No,No,No,No
795,10.1016/j.canlet.2014.09.017,https://www.sciencedirect.com/science/article/pii/S0304383514005291,No,No,-,-,No,No,No,No,No,No
796,10.1016/j.cell.2005.03.028,https://www.sciencedirect.com/science/article/pii/S0092867405003004,No,Yes,10.1016/j.cell.2018.04.009,Image Manipulation,No,No,No,No,No,No
797,10.1016/j.molcel.2006.10.028,https://www.sciencedirect.com/science/article/pii/S1097276506007349,No,Yes,10.1016/j.molcel.2018.03.002,Image Manipulation,No,No,No,No,No,No
798,10.1016/j.cbi.2004.05.002,https://www.sciencedirect.com/science/article/pii/S0009279704000493,No,Yes,10.1016/j.cbi.2017.11.015,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
799,10.1016/j.vetmic.2019.01.004,https://www.sciencedirect.com/science/article/pii/S0378113518309350,No,Yes,10.1016/j.vetmic.2019.07.011,Image Duplication Across Articles,No,No,No,No,No,No
800,10.1016/j.bbaexp.2004.09.008,https://www.sciencedirect.com/science/article/pii/S0167478104001964,No,Yes,10.1016/j.bbagrm.2013.07.001,Questionable Data,No,No,No,No,No,No
801,10.1016/j.mce.2006.01.009,https://www.sciencedirect.com/science/article/pii/S0303720706000153,No,Yes,10.1016/j.mce.2016.08.003,Image Falsification/Fabrication,No,No,No,No,No,No
802,10.1016/j.bbrc.2008.03.120,https://www.sciencedirect.com/science/article/pii/S0006291X08005998,No,Yes,10.1016/j.bbrc.2013.06.083,Questionable Data,No,No,No,No,No,No
803,10.1016/j.yexcr.2017.09.037,https://www.sciencedirect.com/science/article/pii/S0014482717305177,No,Yes,10.1016/j.yexcr.2018.05.034,Image Duplication Across Articles,No,No,No,No,No,No
804,10.1016/j.jmbbm.2014.08.022,https://www.sciencedirect.com/science/article/pii/S1751616114002653,No,Yes,10.1016/j.jmbbm.2018.09.027,Image Duplication Across Articles; Image Manipulation,No,No,No,No,No,No
805,10.1016/j.brainres.2016.03.049,https://www.sciencedirect.com/science/article/pii/S0006899316301871,No,Yes,10.1016/j.brainres.2017.05.032,Image Duplication Across Articles,No,No,No,No,No,Yes
806,10.1039/C3TA13906A,https://pubs.rsc.org/en/content/articlelanding/2014/TA/C3TA13906A,No,Yes,10.1039/C9TA90199J,Image Duplication,No,Yes,No,No,No,No
807,10.1039/C5TA01191D,https://pubs.rsc.org/en/content/articlelanding/2015/TA/C5TA01191D,Yes,Yes,10.1039/c9ta90197c,Image Duplication; Image Manipulation,No,Yes,Yes,Yes,No,No
808,10.1039/C5TA04288G,https://pubs.rsc.org/en/content/articlelanding/2015/TA/C5TA04288G,No,Yes,10.1039/C9TA90200G,Image Duplication,No,Yes,No,No,No,No
809,10.1039/C4CY01331J,https://pubs.rsc.org/en/content/articlelanding/2015/CY/C4CY01331J,No,Yes,10.1039/C9CY90078K,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
810,10.1039/C3TA10321H,https://pubs.rsc.org/en/content/articlelanding/2013/TA/C3TA10321H,No,Yes,10.1039/C9TA90198A,Image Duplication,No,Yes,No,No,No,No
811,10.1039/C7TA04927G,https://pubs.rsc.org/en/content/articlelanding/2017/TA/C7TA04927G,No,Yes,10.1039/C9TA90202C,Image Duplication,No,Yes,No,No,No,No
812,10.1039/C6TA07859A,https://pubs.rsc.org/en/content/articlelanding/2016/TA/C6TA07859A,No,Yes,10.1039/C9TA90196E,Image Duplication,No,Yes,No,No,No,No
813,10.1039/C5NR09227B,https://pubs.rsc.org/en/content/articlelanding/2016/NR/C5NR09227B,No,Yes,10.1039/C9NR90182E,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
814,10.1039/C5RA03345D,https://pubs.rsc.org/en/Content/ArticleLanding/2015/RA/C5RA03345D,No,Yes,10.1039/C6RA90077A,Image Manipulation,No,No,No,No,No,No
815,10.1039/c9qi00590k,https://pubs.rsc.org/en/content/articlelanding/2019/QI/C9QI00590K,No,Yes,10.1039/C9QI90033K,Image Duplication Across Articles,No,No,No,No,No,No
816,10.1096/fj.02-1139fje,https://faseb.onlinelibrary.wiley.com/doi/full/10.1096/fj.02-1139fje,No,Yes,10.1096/fj.02-1139fjeRET,Image Manipulation,No,No,No,No,No,No
817,10.1111/bph.13149,https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/bph.13149,No,No,-,-,No,Yes,No,No,No,No
818,10.1002/ijc.20333,https://onlinelibrary.wiley.com/doi/full/10.1002/ijc.20333,No,Yes,10.1002/ijc.29661,Image Duplication,No,Yes,No,No,Yes,No
819,10.1002/ijc.25041,https://onlinelibrary.wiley.com/doi/full/10.1002/ijc.25041,No,Yes,10.1002/ijc.29662,Image Duplication,No,Yes,No,No,Yes,No
820,10.1111/j.1476-5381.2011.01603.x,https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/j.1476-5381.2011.01603.x,No,Yes,10.1111/bph.12032,Image Duplication,No,Yes,No,No,No,Yes
821,10.1002/ijc.24593,https://onlinelibrary.wiley.com/doi/full/10.1002/ijc.24593,No,Yes,10.1002/ijc.24976,Wrong Author Information,No,Yes,No,No,No,No
822,10.1002/mc.20149,https://onlinelibrary.wiley.com/doi/full/10.1002/mc.20149,No,No,-,-,No,Yes,Yes,Yes,No,No
823,10.1002/jcb.23150,https://onlinelibrary.wiley.com/doi/full/10.1002/jcb.23150,No,Yes,10.1002/jcb.25588,Image Duplication; Image Manipulation,No,Yes,No,No,No,Yes
824,10.1002/chem.200901098,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200901098,No,Yes,10.1002/chem.201903473,Image Duplication Across Articles,No,No,No,No,No,No
825,10.1111/j.1582-4934.2007.00067.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1582-4934.2007.00067.x,No,Yes,10.1111/j.1582-4934.2012.01619.x,Image Falsification/Fabrication,No,No,No,No,No,No
826,10.1111/j.1582-4934.2006.tb00533.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1582-4934.2006.tb00533.x,No,Yes,10.1111/j.1582-4934.2012.01620.x,Image Falsification/Fabrication,No,No,No,No,No,No
827,10.1111/j.1582-4934.2011.01281.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1582-4934.2011.01281.x,No,No,-,-,No,No,No,No,No,No
828,10.1111/j.1600-0897.2011.00995.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0897.2011.00995.x,No,No,-,-,No,Yes,Yes,Yes,No,No
829,10.1111/j.1600-0897.2012.01182.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0897.2012.01182.x,No,No,-,-,No,Yes,No,No,No,No
830,10.1111/j.1600-0897.2010.00880.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0897.2010.00880.x,No,No,-,-,No,Yes,No,No,No,No
831,10.1002/ijc.22077,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.22077,No,Yes,10.1002/ijc.30268,Image Duplication Across Articles; Image Manipulation,No,Yes,No,No,No,No
832,10.1002/ijc.22332,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.22332,No,Yes,10.1002/ijc.28710,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
833,10.1002/ijc.21589,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.21589,No,Yes,10.1002/ijc.28709,Image Duplication; Image Manipulation,No,No,Yes,Yes,No,No
834,10.1002/ijc.25658,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.25658,No,Yes,10.1002/ijc.30271,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
835,10.1002/ijc.23610,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.23610,No,Yes,10.1002/ijc.30270,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
836,10.1002/jcb.22523,https://onlinelibrary.wiley.com/doi/full/10.1002/jcb.22523,No,Yes,10.1002/jcb.25586,Image Manipulation,No,No,No,No,No,No
837,10.1002/jcb.22770,https://onlinelibrary.wiley.com/doi/full/10.1002/jcb.22770,No,Yes,10.1002/jcb.25587,Image Manipulation,No,Yes,No,No,No,Yes
838,10.1002/jcb.22323,https://onlinelibrary.wiley.com/doi/full/10.1002/jcb.22323,No,Yes,10.1002/jcb.25583,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
839,10.1002/cncr.21731,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncr.21731,No,Yes,10.1002/cncr.30215,Image Duplication,No,Yes,Yes,Yes,No,Yes
840,10.1002/cncr.24250,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncr.24250,No,Yes,10.1002/cncr.30218,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
841,10.1002/cncr.23100,https://acsjournals.onlinelibrary.wiley.com/doi/full/10.1002/cncr.23100,No,Yes,10.1002/cncr.30217,Image Manipulation,No,Yes,No,No,Yes,No
842,10.1002/jcp.24162,https://onlinelibrary.wiley.com/doi/full/10.1002/jcp.24162,No,Yes,10.1002/jcp.24551,Image Manipulation,No,Yes,No,No,Yes,No
843,10.1002/jcp.24036,https://onlinelibrary.wiley.com/doi/full/10.1002/jcp.24036,No,Yes,10.1002/jcp.25416,Image Manipulation,No,Yes,No,No,No,No
844,10.1002/mnfr.201300528,https://onlinelibrary.wiley.com/doi/full/10.1002/mnfr.201300528,No,No,-,-,No,Yes,No,No,No,No
845,10.1002/pros.22901,https://onlinelibrary.wiley.com/doi/full/10.1002/pros.22901,No,No,-,-,No,Yes,No,No,No,No
846,10.1111/bjh.12206,https://onlinelibrary.wiley.com/doi/full/10.1111/bjh.12206,No,Yes,10.1111/bjh.15766,Image Duplication,No,Yes,No,No,No,No
847,10.1111/j.1601-183X.2011.00702.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1601-183X.2011.00702.x,No,Yes,10.1111/gbb.12054,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
